chat_id,message,expected_sentiment
217,Can you provide an update on my order status?,Neutral
218,The ordering experience was simple and convenient.,Positive
219,My order has been delayed for over a week and nobody is responding.,Negative
220,How can I contact customer support?,Neutral
221,I have a question regarding my account.,Neutral
222,I requested a refund but have not received any update.,Negative
223,The product exceeded my expectations.,Positive
224,Please confirm whether my order was processed.,Neutral
225,How can I contact customer support?,Neutral
226,The product arrived damaged and unusable.,Negative
227,The tracking information is incorrect.,Negative
228,The product exceeded my expectations.,Positive
229,The product quality is disappointing.,Negative
230,Please explain your refund policy.,Neutral
231,Customer support is not answering my emails.,Negative
232,I am very happy with the product quality.,Positive
233,When will my order be shipped?,Neutral
234,I requested a refund but have not received any update.,Negative
235,Please confirm whether my order was processed.,Neutral
236,The product arrived damaged and unusable.,Negative
237,I would like more information about the product.,Neutral
238,Customer support is not answering my emails.,Negative
239,Customer support is not answering my emails.,Negative
240,Everything worked perfectly from purchase to delivery.,Positive
241,The product quality is disappointing.,Negative
242,How can I contact customer support?,Neutral
243,The tracking information is incorrect.,Negative
244,Customer support is not answering my emails.,Negative
245,The refund process was smooth and fast.,Positive
246,The product arrived damaged and unusable.,Negative
247,The product exceeded my expectations.,Positive
248,When will my order be shipped?,Neutral
249,Please explain your refund policy.,Neutral
250,Please explain your refund policy.,Neutral
251,I received the wrong item in my package.,Negative
252,My order has been delayed for over a week and nobody is responding.,Negative
253,Please explain your refund policy.,Neutral
254,I would like more information about the product.,Neutral
255,Customer support is not answering my emails.,Negative
256,Great communication throughout the delivery process.,Positive
257,I would like more information about the product.,Neutral
258,I would like more information about the product.,Neutral
259,Can you check the tracking details for my package?,Neutral
260,My order has been delayed for over a week and nobody is responding.,Negative
261,Thank you for the outstanding support.,Positive
262,Support resolved my issue within minutes.,Positive
263,The product quality is disappointing.,Negative
264,When will my order be shipped?,Neutral
265,Please explain your refund policy.,Neutral
266,Payment failed several times during checkout.,Negative
267,The product exceeded my expectations.,Positive
268,The product arrived damaged and unusable.,Negative
269,Please explain your refund policy.,Neutral
270,My order has been delayed for over a week and nobody is responding.,Negative
271,The delivery arrived earlier than expected.,Positive
272,The refund process was smooth and fast.,Positive
273,Great communication throughout the delivery process.,Positive
274,The ordering experience was simple and convenient.,Positive
275,Payment failed several times during checkout.,Negative
276,My order has been delayed for over a week and nobody is responding.,Negative
277,I have a question regarding my account.,Neutral
278,The refund process was smooth and fast.,Positive
279,I am very happy with the product quality.,Positive
280,How can I contact customer support?,Neutral
281,My order has been delayed for over a week and nobody is responding.,Negative
282,I need clarification about the warranty.,Neutral
283,The ordering experience was simple and convenient.,Positive
284,Great communication throughout the delivery process.,Positive
285,I would like more information about the product.,Neutral
286,Payment failed several times during checkout.,Negative
287,I requested a refund but have not received any update.,Negative
288,Please confirm whether my order was processed.,Neutral
289,The product quality is disappointing.,Negative
290,Support resolved my issue within minutes.,Positive
291,I requested a refund but have not received any update.,Negative
292,Thank you for the outstanding support.,Positive
293,My order has been delayed for over a week and nobody is responding.,Negative
294,Please confirm whether my order was processed.,Neutral
295,Thank you for the outstanding support.,Positive
296,Please confirm whether my order was processed.,Neutral
297,Payment failed several times during checkout.,Negative
298,Thank you for the outstanding support.,Positive
299,The ordering experience was simple and convenient.,Positive
300,The delivery was much later than promised.,Negative
301,Customer support is not answering my emails.,Negative
302,Please confirm whether my order was processed.,Neutral
303,When will my order be shipped?,Neutral
304,My order has been delayed for over a week and nobody is responding.,Negative
305,I am frustrated with the slow response from support.,Negative
306,The tracking information is incorrect.,Negative
307,Please explain your refund policy.,Neutral
308,Please confirm whether my order was processed.,Neutral
309,I am frustrated with the slow response from support.,Negative
310,I requested a refund but have not received any update.,Negative
311,The delivery arrived earlier than expected.,Positive
312,I need clarification about the warranty.,Neutral
313,What payment methods do you accept?,Neutral
314,How can I contact customer support?,Neutral
315,The ordering experience was simple and convenient.,Positive
316,Can you check the tracking details for my package?,Neutral
317,I have a question regarding my account.,Neutral
318,The delivery was much later than promised.,Negative
319,The product arrived damaged and unusable.,Negative
320,Excellent customer service and quick resolution.,Positive
321,I am very happy with the product quality.,Positive
322,My order has been delayed for over a week and nobody is responding.,Negative
323,I requested a refund but have not received any update.,Negative
324,Great communication throughout the delivery process.,Positive
325,I am very happy with the product quality.,Positive
326,What payment methods do you accept?,Neutral
327,I am very happy with the product quality.,Positive
328,I need clarification about the warranty.,Neutral
329,Excellent customer service and quick resolution.,Positive
330,Support resolved my issue within minutes.,Positive
331,The product quality is disappointing.,Negative
332,The refund process was smooth and fast.,Positive
333,The delivery was much later than promised.,Negative
334,My order has been delayed for over a week and nobody is responding.,Negative
335,Great communication throughout the delivery process.,Positive
336,The ordering experience was simple and convenient.,Positive
337,Excellent customer service and quick resolution.,Positive
338,The tracking information is incorrect.,Negative
339,Payment failed several times during checkout.,Negative
340,How can I contact customer support?,Neutral
341,Thank you for the outstanding support.,Positive
342,Everything worked perfectly from purchase to delivery.,Positive
343,The refund process was smooth and fast.,Positive
344,I requested a refund but have not received any update.,Negative
345,The refund process was smooth and fast.,Positive
346,I need clarification about the warranty.,Neutral
347,Excellent customer service and quick resolution.,Positive
348,I requested a refund but have not received any update.,Negative
349,The tracking information is incorrect.,Negative
350,The delivery arrived earlier than expected.,Positive
351,My order has been delayed for over a week and nobody is responding.,Negative
352,I requested a refund but have not received any update.,Negative
353,Can you provide an update on my order status?,Neutral
354,Thank you for the outstanding support.,Positive
355,The product exceeded my expectations.,Positive
356,Payment failed several times during checkout.,Negative
357,Payment failed several times during checkout.,Negative
358,I received the wrong item in my package.,Negative
359,The delivery arrived earlier than expected.,Positive
360,The tracking information is incorrect.,Negative
361,Great communication throughout the delivery process.,Positive
362,Customer support is not answering my emails.,Negative
363,The product arrived damaged and unusable.,Negative
364,Payment failed several times during checkout.,Negative
365,The product arrived damaged and unusable.,Negative
366,The product exceeded my expectations.,Positive
367,Can you check the tracking details for my package?,Neutral
368,Can you provide an update on my order status?,Neutral
369,The delivery arrived earlier than expected.,Positive
370,How can I contact customer support?,Neutral
371,The tracking information is incorrect.,Negative
372,The product arrived damaged and unusable.,Negative
373,I requested a refund but have not received any update.,Negative
374,The delivery was much later than promised.,Negative
375,The tracking information is incorrect.,Negative
376,Payment failed several times during checkout.,Negative
377,When will my order be shipped?,Neutral
378,I am very happy with the product quality.,Positive
379,The delivery was much later than promised.,Negative
380,The product quality is disappointing.,Negative
381,Can you provide an update on my order status?,Neutral
382,I am very happy with the product quality.,Positive
383,Payment failed several times during checkout.,Negative
384,Thank you for the outstanding support.,Positive
385,Customer support is not answering my emails.,Negative
386,Please explain your refund policy.,Neutral
387,The delivery was much later than promised.,Negative
388,I need clarification about the warranty.,Neutral
389,The product exceeded my expectations.,Positive
390,I have a question regarding my account.,Neutral
391,Support resolved my issue within minutes.,Positive
392,I received the wrong item in my package.,Negative
393,I would like more information about the product.,Neutral
394,Please confirm whether my order was processed.,Neutral
395,Can you check the tracking details for my package?,Neutral
396,Everything worked perfectly from purchase to delivery.,Positive
397,The refund process was smooth and fast.,Positive
398,Please explain your refund policy.,Neutral
399,Thank you for the outstanding support.,Positive
400,Everything worked perfectly from purchase to delivery.,Positive
401,Payment failed several times during checkout.,Negative
402,Please explain your refund policy.,Neutral
403,What payment methods do you accept?,Neutral
404,Can you check the tracking details for my package?,Neutral
405,I would like more information about the product.,Neutral
406,Thank you for the outstanding support.,Positive
407,The delivery was much later than promised.,Negative
408,I am very happy with the product quality.,Positive
409,When will my order be shipped?,Neutral
410,I am very happy with the product quality.,Positive
411,Customer support is not answering my emails.,Negative
412,I am very happy with the product quality.,Positive
413,Everything worked perfectly from purchase to delivery.,Positive
414,Payment failed several times during checkout.,Negative
415,I am frustrated with the slow response from support.,Negative
416,Support resolved my issue within minutes.,Positive
417,What payment methods do you accept?,Neutral
418,Excellent customer service and quick resolution.,Positive
419,The tracking information is incorrect.,Negative
420,I am very happy with the product quality.,Positive
421,The product arrived damaged and unusable.,Negative
422,The tracking information is incorrect.,Negative
423,I requested a refund but have not received any update.,Negative
424,Can you check the tracking details for my package?,Neutral
425,The product quality is disappointing.,Negative
426,Everything worked perfectly from purchase to delivery.,Positive
427,The delivery arrived earlier than expected.,Positive
428,I am very happy with the product quality.,Positive
429,Customer support is not answering my emails.,Negative
430,I requested a refund but have not received any update.,Negative
431,Great communication throughout the delivery process.,Positive
432,Please confirm whether my order was processed.,Neutral
433,Great communication throughout the delivery process.,Positive
434,Everything worked perfectly from purchase to delivery.,Positive
435,I am frustrated with the slow response from support.,Negative
436,Payment failed several times during checkout.,Negative
437,The delivery was much later than promised.,Negative
438,Everything worked perfectly from purchase to delivery.,Positive
439,The refund process was smooth and fast.,Positive
440,I requested a refund but have not received any update.,Negative
441,The product arrived damaged and unusable.,Negative
442,I requested a refund but have not received any update.,Negative
443,The product exceeded my expectations.,Positive
444,Great communication throughout the delivery process.,Positive
445,Payment failed several times during checkout.,Negative
446,Can you check the tracking details for my package?,Neutral
447,I would like more information about the product.,Neutral
448,I have a question regarding my account.,Neutral
449,Support resolved my issue within minutes.,Positive
450,I requested a refund but have not received any update.,Negative
451,The refund process was smooth and fast.,Positive
452,The product arrived damaged and unusable.,Negative
453,Support resolved my issue within minutes.,Positive
454,I would like more information about the product.,Neutral
455,The tracking information is incorrect.,Negative
456,Great communication throughout the delivery process.,Positive
457,The delivery arrived earlier than expected.,Positive
458,Can you provide an update on my order status?,Neutral
459,The tracking information is incorrect.,Negative
460,The delivery was much later than promised.,Negative
461,I would like more information about the product.,Neutral
462,The product exceeded my expectations.,Positive
463,When will my order be shipped?,Neutral
464,What payment methods do you accept?,Neutral
465,I have a question regarding my account.,Neutral
466,The product quality is disappointing.,Negative
467,My order has been delayed for over a week and nobody is responding.,Negative
468,The ordering experience was simple and convenient.,Positive
469,The delivery was much later than promised.,Negative
470,I am very happy with the product quality.,Positive
471,I requested a refund but have not received any update.,Negative
472,The ordering experience was simple and convenient.,Positive
473,The delivery was much later than promised.,Negative
474,How can I contact customer support?,Neutral
475,I received the wrong item in my package.,Negative
476,I requested a refund but have not received any update.,Negative
477,I am frustrated with the slow response from support.,Negative
478,I received the wrong item in my package.,Negative
479,Great communication throughout the delivery process.,Positive
480,Excellent customer service and quick resolution.,Positive
481,The refund process was smooth and fast.,Positive
482,What payment methods do you accept?,Neutral
483,The refund process was smooth and fast.,Positive
484,I am frustrated with the slow response from support.,Negative
485,I am frustrated with the slow response from support.,Negative
486,My order has been delayed for over a week and nobody is responding.,Negative
487,The ordering experience was simple and convenient.,Positive
488,Excellent customer service and quick resolution.,Positive
489,Customer support is not answering my emails.,Negative
490,Customer support is not answering my emails.,Negative
491,I requested a refund but have not received any update.,Negative
492,I am very happy with the product quality.,Positive
493,I requested a refund but have not received any update.,Negative
494,Customer support is not answering my emails.,Negative
495,How can I contact customer support?,Neutral
496,Great communication throughout the delivery process.,Positive
497,Support resolved my issue within minutes.,Positive
498,When will my order be shipped?,Neutral
499,I would like more information about the product.,Neutral
500,The delivery was much later than promised.,Negative
